Airport,2017,2018,2019,2020,2021,2022,2023,2024
KLIA,28196313,28021775,29128481,5985241,2087131,13139789,23606132,30625751
KLIA2,30267030,31866394,33128620,7134875,1857959,12054938,23556508,26383118
SUBANG,2880536,7771548,8316365,1814266,540636,4269658,6781059,1422334
PULAU PINANG,7188238,8622119,9444504,2300884,1106165,5020213,7035170,7641625
KOTA KINABALU,8005564,5559092,5952617,1778519,839876,4340565,5327787,7954338
KUCHING,5086208,2735262,2945963,966789,761642,2239628,2501708,5383947
LANGKAWI,2767707,3522519,4210729,1086202,370852,2144036,3010018,2547358
JOHOR BHARU,3124799,1688625,1790682,711285,499695,1374725,1581759,3360906
KOTA BHARU,1988212,315673,457231,100050,34928,333830,515665,1473065
IPOH,274146,894737,911873,300945,164084,610895,594698,540934
KUALA TERENGGANU,943660,817253,919875,275742,164869,526593,588771,651572
ALOR SETAR,802304,52493,135575,29424,,18821,22782,546916
MELAKA,62076,1964059,2259623,949508,571913,1546774,1376030,1422334
KUANTAN,241314,258816,394599,71468,20865,103823,175296,177206
TIOMAN,,,,,,5369,4650,
PANGKOR,,,,,2,393,,
REDANG,,51,,5042,2365,8373,7026,5193
LABUAN,553772,557802,709531,270047,149586,454651,468771,495935
LAHAD DATU,127651,124803,140570,59739,49425,121091,142159,156146
SANDAKAN,878204,940139,1082546,361955,242443,789799,897806,980342
TAWAU,1374881,1642171,1833178,571800,415615,1377415,1710472,1961577
BINTULU,826501,909057,1114318,369802,165619,725872,871153,850088
MIRI,2179799,2343468,2434717,874661,506988,1771591,2195063,2066969
SIBU,1485385,1570591,1750980,569625,242451,1234473,1548423,1459036
MULU,62656,57505,59285,17917,11304,62497,72150,69625
LIMBANG,49461,45475,57509,72999,85417,149080,82469,91905
MUKAH,,,,,17387,61766,60243,62947
STOL SABAH,4542,3951,1574,636,,,,
STOL SARAWAK,151949,147676,147811,94916,81431,109617,100778,101001
Peninsular,78736335,79909205,84599616,19430837,7076941,38377645,64322102,75385677
SABAH,10944614,11890985,13211903,3565061,1963234,7763169,10254378,11548338
SARAWAK,9841959,10632864,11517237,3778439,1950473,8455461,10258066,10085518
Total,99522908,102433054,109328756,26774337,10990648,54596275,84834546,97019533